combined_rank_most_to_least_expensive,combined_cost_score_1_to_10_expensive_high,combined_cost_score_method,estimated_rank_most_to_least_expensive,estimated_score_1_to_10_expensive_high,operator,ocm_operator_ids,estimated_eur_equiv_per_kwh,estimate_status,estimate_confidence,proxy_category,estimate_basis,confirmed_rank_most_to_least_expensive,confirmed_score_1_to_10,confirmed_eur_equiv_per_kwh,source_url,notes
12,6.17,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,14,6.8,Zest Charging,3581,0.7500,Estimated proxy,Low,UK public CPO / site-contracted,UK public-network proxy using mid-to-high DC market norms where site contracts and public rapid charging often land around 60–70p/kWh.,,,,https://www.zest.uk.com/,No single public tariff found; Zest prices appear site/contract dependent.
13,6.15,70% confirmed public score + 30% proxy estimated score,12,7.2,Ionity,3299,0.8100,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Ireland direct/ad-hoc public summary,11,5.7,0.81,https://deenergyhub.ie/ev-charging-cost-calculator-ireland.html,IONITY official site says prices vary by charging point and must be checked in app/website; third-party summary used for Ireland direct price.
14,5.81,70% confirmed public score + 30% proxy estimated score,13,7.0,Porsche Smart Mobility GmbH,3523,0.7990,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Porsche Charging Service UK DC price list excerpt,12,5.3,0.799,https://assets-v2.porsche.com/is/-/media/Project/PCOM/Europe/International/Charging-Service/PCS_Plus_Pricelist,"Manufacturer/eMSP charging service price list, not a CPO network tariff."
15,5.52,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,18,5.8,BMM Energy (UK),3946,0.7000,Estimated proxy,Low,UK public CPO / unknown tariff,No clean public tariff found; placed near UK public rapid/fast market midrange as an unknown UK CPO.,,,,,No publicly available network price found.
16,5.38,70% confirmed public score + 30% proxy estimated score,15,6.5,Maxol,3598,0.7500,Confirmed public tariff/proxy from prior CSV,Low,confirmed/public-price row,User-reported/PlugShare site example,13,4.9,0.75,https://www.plugshare.com/location/472044,Very low-confidence site-level user report; Maxol may host third-party networks rather than set a uniform tariff.
17,4.94,70% confirmed public score + 30% proxy estimated score,16,6.2,ePower,3449,0.7300,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,PAYG High Power example; eVeryday discounted rate €0.66/kWh,14,4.4,0.73,https://www.irishevassociation.ie/news/epower-tullamore-retail-park-opening,IEVA site-level write-up; official ePower page publishes discounted eVeryday rates but not full PAYG table.
18,4.87,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,22,4.8,Monta,3479,0.6500,Estimated proxy,Low,charging management platform / host-set,"Monta is a platform; site owners set prices, so estimated around Irish/European host-set public charger norms.",,,,https://monta.com/,Monta is primarily a charge-point management/payment platform; no single public network tariff found.
19,4.68,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,23,4.5,GoCharge (IE),3402,0.6500,Estimated proxy,Low,Irish CPO / app-priced,Official site says prices are shown per charge point in-app; estimated around Irish DC/public-network norms.,,,,https://www.gocharge.ie/charge-with-us/,Official site says cost is available in the app for each individual charge point; no public tariff found.
20,4.60,70% confirmed public score + 30% proxy estimated score,17,6.0,Weev,3578,0.7100,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,ROI contactless Ultra Rapid >100kW,15,4.0,0.71,https://weev.ie/our-network/driver-resources/our-tariffs,Official Weev tariff table; app rates are lower than contactless.
21,4.35,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,25,4.0,eStation (IE),3915,0.6400,Estimated proxy,Low,Irish CPO / app-priced,No public tariff found; app/network/fleet positioning suggests Irish public DC/fast norm proxy.,,,,https://estation.ie/,No public per-kWh network tariff found; site focuses on app/network and fleet solutions.
22,4.17,70% confirmed public score + 30% proxy estimated score,19,5.5,Circle K,3510,0.6900,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Public fast-charging summary,16,3.6,0.69,https://deenergyhub.ie/ev-charging-cost-calculator-ireland.html,Third-party summary; Circle K app/site prices can vary by site.
23,4.03,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,27,3.5,Fuuse,3673,0.6200,Estimated proxy,Low,charging management platform / host-set,Fuuse is a platform where sites/operators set tariffs; estimated around host-set public charging norms.,,,,https://www.fuuse.io/,Fuuse is a charging management platform; prices are set by site/operators.
24,3.83,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,28,3.2,EVBox,73,0.6200,Estimated proxy,Low,hardware/platform / host-set,EVBox public prices are normally site/host dependent; estimated around host-set AC/DC blended public charging norms.,,,,https://evbox.com/,EVBox is mainly hardware/software; public charging prices are site/host dependent.
25,3.73,70% confirmed public score + 30% proxy estimated score,20,5.2,Char.gy,3345,0.6832,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,Day tariff 7am–12am; night tariff 39p/kWh,17,3.1,0.6832,https://char.gy/pricing,Official char.gy pricing page; site warns prices may vary.
26,3.70,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,29,3.0,Vend Electric,3473,0.6100,Estimated proxy,Low,charging management/payment platform,No single tariff found; estimated around platform-managed public charger market norms.,,,,https://www.vendelectric.com/,No single public driver tariff found; likely site/operator-managed pricing.
27,3.57,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,30,2.8,Stop N Top (IE),3967,0.6000,Estimated proxy,Low,Irish site operator / unknown tariff,No public tariff found; estimated around typical Irish fast/public charging levels.,,,,,No publicly available network price found.
28,3.39,70% confirmed public score + 30% proxy estimated score,21,5.0,ESB Ecars,22,0.6600,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,ROI PAYG/contactless High Power >=150kW,18,2.7,0.66,https://esb.ie/what-we-do/ecars/price-plans,Official ESB ROI price plan valid from 30 July 2025.
29,3.38,No confirmed public score; proxy estimate shrunk toward neutral using very low confidence,31,2.5,GEV Top Up (IE),3812,0.5600,Estimated proxy,Very low,unknown Irish operator,No public price found; placed around lower-middle Irish public charging norms due to lack of evidence.,,,,,No publicly available network price found.
30,3.18,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,32,2.2,Smappee,3754,0.5500,Estimated proxy,Low,hardware/payment platform / host-set,"Smappee is mostly hardware/payment platform; host-set tariffs vary, so placed mid-to-lower proxy.",,,,https://www.smappee.com/,Smappee is primarily hardware/payment platform; no single public network tariff found.
31,3.05,No confirmed public score; proxy estimate shrunk toward neutral using very low confidence,33,2.0,Pinergy (IE),3810,0.5200,Estimated proxy,Very low,energy supplier / unclear public CPO,"Pinergy is mainly an energy supplier with EV/home offers; no public CPO tariff found, so placed near lower Irish public AC/DC blended norms.",,,,https://pinergy.ie/,Pinergy has energy/home EV tariffs; no public CPO network tariff found for OCM operator.
32,2.87,70% confirmed public score + 30% proxy estimated score,24,4.2,Applegreen Electric,3516,0.6500,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Public DC range upper bound €0.55–€0.65/kWh,19,2.3,0.65,https://carwow.ie/blog/ev-charging-network-comparison-ireland.html,Third-party 2026 comparison; Applegreen public pages do not expose a clean tariff table.
33,2.73,No confirmed public score; proxy estimate shrunk toward neutral using very low confidence,35,1.5,EO Charging,3298,0.4800,Estimated proxy,Very low,fleet/workplace charging,"Primarily fleet/workplace charging; not strongly comparable to public PAYG CPO pricing, so placed low with very low confidence.",,,,https://www.eocharging.com/,Primarily fleet/workplace charging; no public consumer network tariff found.
34,2.53,No confirmed public score; proxy estimate shrunk toward neutral using very low confidence,36,1.2,Nissan UK Dealer Network,7,0.3500,Estimated proxy,Very low,dealer/host-set/restricted,"Dealer chargers are often restricted, free, or host-set; not comparable to normal public CPO pricing, so placed near the low end.",,,,,"No single public tariff; dealer chargers vary, many are restricted/free/host-set."
35,2.47,70% confirmed public score + 30% proxy estimated score,26,3.8,POD Point (UK),3,0.6253,Confirmed public tariff/proxy from prior CSV,Low,confirmed/public-price row,Older/public supermarket rapid examples vary; using Zapmap UK standard average fallback,20,1.9,0.6253,https://www.zapmap.com/ev-stats/charging-price-index,"No clean Pod Point public tariff found for all sites; many hosts set prices, so UK standard/standard-plus average is used as fallback."
36,1.52,70% confirmed public score + 30% proxy estimated score,34,1.8,EZO (IE),1241,0.5000,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,DC app/PAYG example + €0.27 connection fee,21,1.4,0.5,https://deenergyhub.ie/ev-charging-cost-calculator-ireland.html,Third-party summary; EZO official page says prices are shown on charge map/app.
37,1.00,70% confirmed public score + 30% proxy estimated score,37,1.0,E.ON Drive,3403,0.1042,Confirmed public tariff/proxy from prior CSV,Low,confirmed/public-price row,"E.ON Next Drive home/off-peak EV tariff, not public network",22,1.0,0.1042,https://www.eonnext.com/electric-vehicles,"This is a home electricity EV tariff, not a CPO public charger price; included but not comparable."
